CNPE;Taux_redevance;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Nogent;60;10000;-27.453431781793675;-32.81570485867276;71.30053453796977;0.7130053453796976;-150.91589121575805;138.7642547008347;0.3032;-0.13359032846891833;0.804197983250448;100.72908066591003;1.1957806627381882;0.044352;0.45263303744262856
Nogent;560;10000;-23.75761871881832;-28.871785440107498;72.04457042190027;0.7204457042190028;-149.18131057522453;145.91346252465183;0.3272;-0.08523595241784292;0.8290434185325307;101.07247163791368;1.1903981431739643;0.413952;0.4473451121829912
Nogent;1060;10000;-17.538964046608754;-24.049108119636678;73.50994709325784;0.7350994709325783;-143.55174816790074;155.4338414117878;0.3557;-0.017472346418853864;0.8755448079794681;100.15742621791293;1.1749815668932;0.783552;0.45115290668108615
Nogent;1560;10000;-11.940928546192163;-18.48850068906459;74.51066969394692;0.7451066969394693;-140.82041986239312;163.87946570589617;0.3912;0.04454617846476022;0.8856159060628491;100.10298968823399;1.1850558655448635;1.153152;0.4501715847158896
Nogent;2060;10000;-8.157391534258275;-15.556393006155375;75.80307427434128;0.7580307427434129;-135.92098672195291;168.82560942844628;0.409;0.09254998349164964;0.9232546420472967;100.57358318458017;1.1867532564153334;1.522752;0.45124391254616253
Nogent;2560;10000;-3.300529116355843;-10.920474106256112;77.19470182758974;0.7719470182758974;-135.869979646997;178.9885522114839;0.4354;0.1473984763370231;0.9438894658540472;100.12591303171489;1.184192065978416;1.892352;0.4513422277210086
Nogent;3060;10000;2.450335203263124;-6.243716158563916;80.22755868165875;0.8022755868165875;-131.55843119201128;195.46906323488656;0.4617;0.2144680586788782;0.9944989328358321;100.2311937690884;1.1774445172249408;2.261952;0.4513437144956499
Nogent;3560;10000;6.918689166229867;-2.7971231542955453;80.56956032742963;0.8056956032742962;-126.88822163461239;202.87392745207003;0.483;0.26042866730693054;1.0250243097777934;100.01420785853954;1.1867919946670311;2.631552;0.4492189471986173
Nogent;4060;10000;9.999875467432496;0.6464638045857921;81.54406219378038;0.8154406219378038;-125.19556070592964;209.55410103820665;0.5039;0.3056743526520231;1.0558707531896057;100.52868828422014;1.1923242425434963;3.001152;0.4495743727582864
Nogent;4560;10000;16.929300421568474;6.584689413253181;84.76346915343827;0.8476346915343828;-122.12883498396901;225.48736536698854;0.5382;0.3866324863074914;1.1003181418850885;100.51953809622965;1.1898592507515007;3.370752;0.4517895963374778
Nogent;5060;10000;21.132454813870552;8.832834548277736;85.01706461074788;0.8501706461074787;-116.67245068659498;226.1415744188313;0.5544;0.42708138630917536;1.1108172922373993;100.3046034137319;1.1880916396109054;3.740352;0.4501884005943433
Nogent;5560;10000;25.984261761344907;14.691129232216419;86.96431768968;0.8696431768967999;-115.69925499091752;236.66206188401145;0.5835;0.4878106210120067;1.1331630959558587;100.48299643663755;1.1970047060245261;4.109952;0.453197818236425
Nogent;6060;10000;30.485320639287515;16.82227575110829;89.49840558210184;0.8949840558210184;-112.82592064157123;251.22552400873107;0.5961;0.5524534659428967;1.2158576807000607;99.56330157661296;1.1866217211896577;4.479552;0.4489874158513127
Nogent;6560;10000;36.112522417997425;21.98594037785136;91.09093534884714;0.9109093534884714;-107.67250645045517;261.35311296862113;0.6163;0.6061797604603089;1.2331838446379866;100.40355569097692;1.1909110825045235;4.849152;0.45220863297864766
Nogent;7060;10000;38.973279670133074;25.185101890527257;91.01728181881353;0.9101728181881352;-103.82424739987633;264.78645248674786;0.6356;0.6294770485314216;1.2116102189580373;100.43301478552155;1.1860355298270258;5.218752;0.44898200131807287
Nogent;7560;10000;45.00819855808019;29.586570362704077;94.4571636862714;0.944571636862714;-100.90296855857864;277.56289180770824;0.6578;0.7175148098144736;1.3041677071903397;100.09284668827559;1.1864890016594642;5.588352;0.45011594613979694
Nogent;8060;10000;49.94670824874994;33.568014994363416;95.7862439769713;0.9578624397697131;-98.75267165548678;286.87944411496056;0.6755;0.767793017196268;1.3178162742445894;100.03494480484291;1.1768096084186703;5.957952;0.45249418475755976
